ชื่อกิจกรรม,ค่าย เทคนิคปั้น Portfolio + ฝึกพื้นฐาน + แข่งสร้างเกม 
คำโปรย 190 Text,การแข่งยิ่งใหญ่วอร์มเครื่องก่อน NSC เพื่อนๆ ทั่วประเทศกว่าร้อยคนได้ผลงานระดับเข้ารอบ Port ใน 3 วัน confirm จากรุ่นพี่หลายสิบคนที่ได้โควต้าเข้าวิศวะคอมฯ ในมหาวิทยาลัยชั้นน
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,16 เม.ย.
วันที่สิ้นสุด,26 เม.ย.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,19:00-21:00
วันที่รับสมัครวันสุดท้าย,15 เม.ย.
จำนวนที่รับ,200 คน
ค่าใช้จ่าย,390 บาท
คุณสมบัติผู้สมัคร,ผู้สนใจพัฒนาผลงานเข้ารอบ Portfolio ทั้งมัธยมและสายอาชีพ 
คุณสมบัติเพิ่มเติม,⚠ ใช้คอมที่มี Ram 16GB ขึ้นไป
ลิงค์ใบสมัคร,https://hamsterhub.co/gamejam
คำอธิบายกิจกรรม,"เอาจริงใน 3 วันสอนตั้งแต่ 0 คัดเลือกน้องที่สนใจจริงเข้าโครงการพิเศษ ""Starlight""
สำหรับน้องๆ ที่ต้องการมั่นใจในแนวของตัวเอง ทั้งสาย Coding สายออกแบบ พัฒนาผลงาน สายงานด้านบริหารจัดการ และ Skill ที่จำเป็นยิ่งยวด หาฝึกได้ยากในยุค AI

🎮 เริ่มด้วยความสนุก ฝึกเทคนิคการเรียนรู้ร่วมกัน
🌟 เน้นฝึกพื้นฐานเฉพาะที่จำเป็น ☯️ ""เน้นใช้ประโยชน์ เล่นได้สนุกจริง"" ทั้งเขียนโปรแกรมและสร้างเกม
🔥 สร้างความเหนือชั้น วาง Concept สุดยอดเข้ากับประสบการณ์ออกแบบ แถมได้ต่อยอดจากผลงานระดับโลก
🌍 Simplify ผลงานจนง่ายที่สุดสู่ความเป็นมืออาชีพได้เร็วและคว้ารางวัลจากรายการที่มีชื่อเสียงทั้งในและต่างประเทศ 
🏗️ พัฒนาเส้นทางสู่การยกระดับผลงานสู่ระดับ Pro 🚀 ด้วยการคุมคุณภาพทุกขั้นตอน แล้วนำไปใช้ประโยชน์ได้จริง 

🎮 ทะลุขีดจำกัด ยกระดับความสนุก! กิจกรรมแน่นๆตั้งแต่การปั้นพอร์ต ฝึกสร้างเกม และ แข่งขันสร้างผลงานใน 72 ชั่วโมง
อีเวนต์ที่รวมพลคนรักการทำเกมมากที่สุดกลับมาแล้ว! เตรียมตัวให้พร้อมกับภารกิจสุดท้าทาย ชิงรางวัลและสร้าง Profile สุดเจ๋งให้ตัวเอง 🌟

🔥 จัดเต็มกว่าเดิม คุ้ม 3 ต่อในงานเดียว! 🏆

ไม่ต้องเก่งก็เริ่มได้ ขอแค่มีไฟ 🔥 เพราะเราเตรียมให้ครบ!

🗓️ 16-19 เม.ย. วางแผนปั้นพอร์ตสำหรับ Dek70 เตรียมตัวเข้ามหาลัยแบบมั่นใจ
วางแผนการทำพอร์ตกับรุ่นพี่รอบพอร์ตตัวจริง
เลือกเรียนได้ตั้งแต่ 
1️⃣Python : เริ่มต้นเส้นทางโปรแกรมเมอร์ให้อยู่เหนือ AI 
2️⃣Game : ออกแบบไอเดียเกมสุดเท่ที่พร้อมเอาไปต่อยอดทำผลงานจริง
3️⃣Roblox : เปิดจินตนาการ ไม่ต้องเยอะก็ทำเงินได้เลย 
พร้อมกิจกรรมสุดพิเศษ portfolio clinic ที่จะทำให้น้องเห็นความจริงในรั้วมหาวิทยาลัย

🗓️ 20-23 เม.ย. GameDev Camp สอนสร้างเกมจริง ไม่มีพื้นฐานเราจับมือทำ!
อยากแข่ง GameJam สร้างเกมไม่เป็นไม่ต้องห่วงเพราะในกิจกรรมนี้เราปูพื้นฐานน้องจาก 0 มั่นใจทำเป็นแน่!
น้องจะได้ฝึกหัวใจหลักในการสร้างเกมได้แก่
1 C# Programming 💻
2 Asset & Graphics Creation 🎨
3 Game Design 🧠

🗓️ 24-26 เม.ย. สมรภูมิเดือด Gamejam X แข่งสร้างเกม 72 ชม. (ออนไลน์ / ฟรีสไตล์ Engine)


"
