ชื่อกิจกรรม,Dek70 Camp
คำโปรย 190 Text,แคมป์พิเศษเพื่อค้นหาผู้ที่ใช่ เข้าโครงการที่ฝึกให้ได้เปรียบไปจนจบมหาวิทยาลัย ได้ผลงานที่เข้าได้แทบทุกคณะในรอบ Portfolio พร้อมได้สิทธิ์เข้าแข่งรายการระดับประเทศขึ้นไป
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,30 ม.ค.
วันที่สิ้นสุด,1 ก.พ.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,19:00-21:00
วันที่รับสมัครวันสุดท้าย,29 ม.ค.
จำนวนที่รับ,200 คน
ค่าใช้จ่าย,190 บาท
คุณสมบัติผู้สมัคร,ผู้สนใจพัฒนาผลงานเข้ารอบ Portfolio ทั้งมัธยมและสายอาชีพ
คุณสมบัติเพิ่มเติม,⚠ ใช้คอมที่มี Ram 16GB ขึ้นไป
ลิงค์ใบสมัคร,https://hamsterhub.co/dek70
คำอธิบายกิจกรรม,"จัดเต็มใน 3 วัน ฝึกตั้งแต่เริ่ม คัดเลือกน้องที่สนใจจริงเข้าโครงการพิเศษ ""StarPlatinum""

ผลงานรุ่นพี่ปีก่อนทั้งที่ได้รางวัลมากมาย และหลายคนแม้ไม่ได้ก็ได้เข้ามหาลัยท็อปๆ กัน ปีนี้น่าจะมีเด็ก Hamster Hub เยอะเลยล่ะ
ความลับที่ไม่ลับ ก็คือสนุกไง ได้มาเจอเพื่อนที่ชอบแบบเดียวกัน ทำต่อเนื่องก็เก่งเร็ว
เห็นผลงานพัฒนาไป หลายกลุ่มได้มีผู้ใช้จริงด้วยก็ยิ่งสะใจ
ไม่เข้าใจตรงไหนก็มีพี่ๆมากประสบการณ์ค่อนช่วยเหลือตลอดเวลาบน Discord
* อาจจะไม่เชื่อว่าทุกคนเริ่มจากการสร้างเกม *

🌙Friday Night :
19.00 : กิจกรรมสนุกให้สนิทกัน
19.30 : inspire หลักการ Design เกมมือถือที่ดี และขายได้
19.45 : ฝึกสร้างเกมมือถือใน 2 วัน!
20.00 : ติดตั้ง Unity
20.20 : จับกลุ่มออกแบบเกมมือถือในแบบของเรา
20.45 : พี่ๆช่วยดูและปรับแก้ดีไซน์ให้เป็นจริงได้

💪 Saturday Afternoon: 
14.00-16.00 : กิจกรรม How To Be Game Dev
ฝึกควบคุม Object ที่หลากหลายใน Unity
เรียนรู้การใช้งาน Material จุดเริ่มต้นแห่งความเท่
Quest 1 : สร้างตัวละคร Mascot สุดน่ารัก?? 

🤝Saturday Night:
19.00-21.00 : กิจกรรม How To Make Fun Game
แบ่งสายเรียนตามหน้าที่ในทีม
มีทั้งสอนเขียนโค้ดสร้าง Player สร้างแมพ-จัดแสง และการทำระบบต่างๆในเกม
Quest 2 : สร้าง Gameplay ให้เกมของเราเล่นแล้วสนุก!

🚀 Sunday Afternoon :
14.00-16.00 : กิจกรรม Lets Make It Feel Good
พี่ๆสอนเทคนิคขั้นเทพไม่ว่าจะเป็น Post-Processing, Box Volume, Timeline และอีกมากมาย!!!
Quest 3 : เก็บรายละเอียดเกมให้ดีที่สุด!
(พี่ๆจะแอบสอนเทคนิคการพรีเซนต์เกมให้ด้วยนะ)

🎤Sunday Night:
19.00 : กิจกรรม Wrap Up!
Last Quest! : Final Presentation พร้อมตัดสินผู้ได้เข้าร่วม ""StarPlatinum""

🌟 ผู้ที่ได้รับการคัดเลือกจะได้รับคำปรึกษาเตรียมความพร้อมสู่คณะ และมหาวิทยาลัยที่สนใจ
(แอบกระซิบนะ...หลังปิดงานพี่ๆแอบเตรียมเซอร์ไพรส์ไว้ให้สำหรับทุกคนด้วยนะ)
"
