ชื่อกิจกรรม,Dek70 Plus+
คำโปรย 190 Text,แคมป์พิเศษเพื่อค้นหาผู้ที่ใช่ เข้าโครงการที่ฝึกให้ได้เปรียบไปจนจบมหาวิทยาลัย ได้ผลงานที่เข้าได้แทบทุกคณะในรอบ Portfolio พร้อมได้สิทธิ์เข้าแข่งรายการระดับประเทศขึ้นไป
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,16 เม.ย.
วันที่สิ้นสุด,18 เม.ย.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,19:00-21:00
วันที่รับสมัครวันสุดท้าย,15 เม.ย.
จำนวนที่รับ,200 คน
ค่าใช้จ่าย,190 บาท
คุณสมบัติผู้สมัคร,ผู้สนใจพัฒนาผลงานเข้ารอบ Portfolio ทั้งมัธยมและสายอาชีพ
คุณสมบัติเพิ่มเติม,⚠ ใช้คอมที่มี Ram 16GB ขึ้นไป
ลิงค์ใบสมัคร,https://hamsterhub.co/dek70
คำอธิบายกิจกรรม,"เอาจริงใน 3 วันสอนตั้งแต่ 0 คัดเลือกน้องที่สนใจจริงเข้าโครงการพิเศษ ""Starways""
สำหรับน้องๆ ที่ต้องการมั่นใจในแนวของตัวเอง ทั้งสาย Coding สายออกแบบ พัฒนาผลงาน สายงานด้านบริหารจัดการ และ Skill ที่จำเป็นยิ่งยวด หาฝึกได้ยากในยุค AI

🎮 เริ่มด้วยความสนุก ฝึกเทคนิคการเรียนรู้ร่วมกัน
🌟 เน้นฝึกพื้นฐานเฉพาะที่จำเป็น ☯️ ""เน้นใช้ประโยชน์ เล่นได้สนุกจริง"" ทั้งเขียนโปรแกรมและสร้างเกม
🔥 สร้างความเหนือชั้น วาง Concept สุดยอดเข้ากับประสบการณ์ออกแบบ แถมได้ต่อยอดจากผลงานระดับโลก
🌍 Simplify ผลงานจนง่ายที่สุดสู่ความเป็นมืออาชีพได้เร็วและคว้ารางวัลจากรายการที่มีชื่อเสียงทั้งในและต่างประเทศ 
🏗️ พัฒนาเส้นทางสู่การยกระดับผลงานสู่ระดับ Pro 🚀 ด้วยการคุมคุณภาพทุกขั้นตอน แล้วนำไปใช้ประโยชน์ได้จริง 

🏆 รายการแข่งขันระดับประเทศขึ้นไป 
1 Global Game Jam สร้างเกมพร้อมกัน 48 ชม.ทั่วโลก 
2 Hamster Hub Game Jam เตรียมความพร้อมสู่มหาวิทยาลัย 
3 NSC-2026 การแข่งขัน Software ที่ใหญ่ที่สุดในประเทศ 
4 YSC-2027 โปรเจควิจัยของเด็กสายวิทย์ 
5 Thailand Game Show งานแข่งและเปิดตัวเกมที่นักลงทุนจับตามอง 
6 Thailand ICT Awards 2026 การแข่งสุดยอดผลิตภัณฑ์ของประเทศ 

1️⃣Python : เริ่มต้นเส้นทางโปรแกรมเมอร์ให้อยู่เหนือ AI 
2️⃣Game : ออกแบบไอเดียเกมสุดเท่ที่พร้อมเอาไปต่อยอดทำผลงานจริง
3️⃣Roblox : เปิดจินตนาการ ไม่ต้องเยอะก็ทำเงินได้เลย 

🌙16 Thursday :
19.00 : กิจกรรมสนุกให้สนิทกัน
19.45 : แบ่งสาย มาลองเอาจริงกัน
20.45 : พี่ๆช่วยดูและปรับแก้ดีไซน์ให้เป็นจริงได้ใน 1 วัน!

🤝17 Friday :
19.00 - 19.30 : กิจกรรมสัมภาษณ์สดรุ่นพี่วิษวะคอม มหาลัยชั้นนํา 
19.30 - 20.00 : แบ่งสายเรียนพัฒนาผลงานสั้น เอาให้ตกใจไปเลย 1 วัน จริงดิ!? 

⁉️18 Saturday :
19.00 - 21.00 : ฝึกการเก็บรรายละเอียดผลงาน ไขความลับทำยังไงถึงเอาไปใส่พอร์ตได้

🎤 19 Sunday :
19.00 : กิจกรรม Wrap Up!
Last Quest! : พรีเซนต์งานของตัวเองในกลุ่ม
พี่จะคัดเลือกตัวแทนห้อง ไปขิงเพื่อนๆ + Cert. พิเศษ

🌟 20.00 : The Final Showdown
Secret Quest!? : ตัวแทนห้องมานำเสนองานที่ทำใน 3 วันชิงรางวัลกับห้องอื่น!
20.45 สรุปและปิดงาน
(แอบกระซิบนะ...หลังปิดงานพี่ๆแอบเตรียมเซอร์ไพรส์ไว้ให้สำหรับทุกคนด้วยนะ)"
