ชื่อกิจกรรม,Intelligence Camp EP-2
คำโปรย 190 Text,AI ที่เคยคิดว่ายาก จำเป็นกับทุกคณะ ทำเงินได้ทุกสายงาน 🤖 ก็แค่มีเพื่อนๆ พี่ๆ พร้อมเทคนิคโคตรมันส์ ได้ลุยไปพร้อมกัน ทั้งเว็บ เกม หรือแม้แต่ Roblox ไว้เข้าม.ท็อปๆ ได้เลย 🌟
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,8 พ.ค.
วันที่สิ้นสุด,13 พ.ค.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,19:00-21:00
วันที่รับสมัครวันสุดท้าย,8 พ.ค.
จำนวนที่รับ,300 คน
ค่าใช้จ่าย,290 บาท
คุณสมบัติผู้สมัคร,ผู้สนใจพัฒนาผลงานเข้ารอบ Portfolio ทั้งมัธยมและสายอาชีพ 
คุณสมบัติเพิ่มเติม,⚠ ใช้คอมที่มี Ram 16GB ขึ้นไปถ้าต้องการเข้าร่วม Workshop Unity 
ลิงค์ใบสมัคร,https://hamsterhub.co/ic
คำอธิบายกิจกรรม,"🖼️ ลบภาพการสอนเดิมๆไปเลย เพราะโครงการนี้มาพร้อมกับ Gamification เปลี่ยนการเรียนที่น่าเบื่อให้เป็น ""ภารกิจ"" น้องจะได้สวมบทบาทเป็น ""นักสร้างโลก"" โดยมี AI เป็นผู้ช่วยส่วนตัว

✨ เริ่มด้วยความสนุก ฝึกเทคนิคการเรียนรู้ร่วมกัน
👑 ให้น้องได้เลือกเส้นทาง Unity , Roblox , WebApp ในรูปแบบของกิลด์
🧭 ล่าความรู้กับเพื่อนในกลุ่ม และให้ AI ทำให้เห็นภาพจริง
🎁 พัฒนาเส้นทางสู่การยกระดับผลงานสู่ระดับ Pro  ด้วยการคุมคุณภาพทุกขั้นตอน แล้วนำไปใช้ประโยชน์ได้จริง

📅 กำหนดการกิจกรรม (Camp Schedule)

วันที่: 8 พฤษภาคม 2569 - 13 พฤษภาคม 2569
เวลา: 19:00 - 21:00 น. 
(เรียนสดออนไลน์ผ่าน Discord)

📌 Day 1 - Friday:
- 18:30 - 19:00 น. | เริ่ม Check-in กิจกรรม โชว์ผลงานที่สร้างด้วย AI และนำไปใช้ได้จริง
- 19:00 - 19:30 น. | อธิบายระบบต่างๆ จัดปาร์ตี้ และเกริ่นถึงความดุเดือดของ Tournament ที่จะมาถึง!
- 19:30 - 21:00 น. | แยกย้ายเข้ากิลด์ที่สนใจ เพื่อไประดมสมองในปาร์ตี้ และเตรียมความพร้อมในการทำ (พี่ๆในกิลด์จะค่อยช่วย)

📌 Day 2 - Saturday:
- 19:00 - 20:00 น. | เริ่มต้นการ ""ล่าเควสต์"" สุดมัน ทุกปาร์ตี้จะได้หาภารกิจเหมือนได้ผจญภัย
- 20:00 - 21:00 น. | นำความรู้จากการล่าเควสต์มาเริ่ม วางแผนสร้างโปรเจคของปาร์ตี้ โดยมี AI เป็นผู้ช่วย

📌 Day 3 - Sunday:
- 19:00 - 20:00 น. | ลุยทำโปรเจคให้เป็นรูปเป็นร่าง ช่วยกันในปาร์ตี้ ใส่ฟีเจอร์เด็ดๆ ตามไอเดียที่คิดไว้ในวันแรก
- 20:00 - 21:00 น. | เก็บรายละเอียดของโปรเจค ทั้ง แก้บั๊ก, เสียง, UI ให้โปรเจคสมบูรณ์มากขึ้น

📌 Day 4 - Monday:
- 19:00 - 19:15 น. | จัด Group และอธิบายรูปแบบการแข่ง
- 19:15 - 20:15 น. | จับคู่ดวล 1v1 ภายใน Group จนกว่าจะได้แชมป์อันดับ 1 ของแต่ละ Group รวมเป็น ""7 ปาร์ตี้สุดท้าย""*    
- 20:15 - 21:00 น. | ประชันกันในห้องรวมเพื่อหาปาร์ตี้อันดับ 1

📌 Day 5 - Tuesday:
- 19:00 - 20:00 น. | ให้ทุกเล่นโปรเจคของทุกปาร์ตี้แบบอิสระ พร้อมมีการโหวตเพื่อหาเกมที่ Most Fun, Best Design และรูปแบบอื่นที่ไม่ได้กล่าวถึง
- 20:00 - 20:15 น. | ประกาศผลรางวัล Champion จาก Tournament Day 4 และผมโหวดของเพื่อนๆ
- 20:15 - 21:00 น. | สอนของจริงที่เอาไปใช้ต่อได้ จะทำให้ดีกว่านี้ยังไง, กลายเป็น Portfolio ยังไง, เขียนคำอธิบายโปรเจคยังไงให้ดูโปร"
