ชื่อกิจกรรม,Python Adventure Camp
คำโปรย 190 Text,เข้าวิศวะคอมฯ รอบ Port ด้วยผลงานที่สร้างร่วมกับ !✨Hamster Hub!✨ด้วยการเขียน Python ให้กรรมการได้มั่นใจ แก้ปัญหาที่ซับซ้อนได้ จัดการข้อมูลได้หลายมิติจาก Big Data ของจริง
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,12 ม.ค.
วันที่สิ้นสุด,16 ม.ค.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,จันทร์-ศุกร์
วันที่รับสมัครวันสุดท้าย,11 ม.ค.
จำนวนที่รับ,90 คน
ค่าใช้จ่าย,1290 บาท
คุณสมบัติผู้สมัคร,"ประถม, มัธยม + มหาวิทยาลัย และสายอาชีพ"
คุณสมบัติเพิ่มเติม,มีคอมพิวเตอร์
ลิงค์ใบสมัคร,hamsterhub.co/pyx
คำอธิบายกิจกรรม,"ทำไมต้องเรียน Python (ภาษาอันดับ 1 ของโลก) กับ Hamster Hub?  ""แค่รู้วิธีการเรียน Python"" ไม่ต้องเยอะ ก็ต่อยอดไปใช้ได้ทั้งชีวิต

ให้เทคนิคที่คนเก่งๆ เขาไม่สอนกัน คือทำไงให้เก่งเร็ว
ไม่ใช่แค่เขียนโปรแกรมเป็น แต่จะได้ฝึกแก้ปัญหาจากสถานการณ์จริง ที่พลิกแพลงตลอด
ด้วยภารกิจที่ท้าทาย และของรางวัลไปขิงเพื่อนๆ

เห็นชัดด้วยรุ่นพี่ปี 1-4 ที่เข้าไป ""ม.ท็อปๆ"" กลับมาบอก ""เก่ง Python ทำให้เรียนวิศวะคอมฯ ง่ายขึ้นเยอะ""

Day 1 Inside Python
- Ice Breaking : สนิทกันไว้ สร้างกระบวนการแข่งขัน
- Self Learning : ฝึกเทคนิคที่ช่วยให้การเรียนรู้ด้วเองเร็วขึ้นอีกเยอะ

Day 2 Simple Programming
- Print & Variable : ประเภทข้อมูล และการแสดงผล
- Operation & Math : การคำนวน และคณิตศาสตร์

Day 3 Mini Game
- Input : การให้ข้อมูลคอม
- If-Else : สร้างเกมเท่ ด้วยเงื่อนไขที่สำคัญ

Day 4 How to ทำไข่เจียว
- For Loop : การทำซ้ำ จุดยากอัลกอริทึม

Day 5 Boss
- Mini Project : บอสโหด วัดผลชัด
- Report : วิเคราะห์ปัญหา และช่วยหาแนวทางพัฒนา"
